iter	RMSE
560	2.16616495
561	2.166123055
562	2.166089986
563	2.166055673
564	2.166024348
565	2.165968686
566	2.165932998
567	2.165907574
568	2.16584838
569	2.165777661
570	2.165740659
571	2.165705127
572	2.165677723
573	2.1656073
574	2.165558999
575	2.165507708
576	2.165444622
577	2.165390903
578	2.165359378
579	2.165286571
580	2.165207826
581	2.165149999
582	2.165107402
583	2.165061713
584	2.165023566
585	2.164972285
586	2.164929019
587	2.164887169
588	2.164848231
589	2.164786731
590	2.164675366
591	2.164635169
592	2.164592964
593	2.164513727
594	2.164476985
595	2.164443717
596	2.164382805
597	2.164336627
598	2.164282904
599	2.164253821
600	2.164214759
601	2.164172763
602	2.164136261
603	2.164087404
604	2.16403246
605	2.164003248
606	2.163957314
607	2.16388906
608	2.163820737
609	2.163779961
610	2.163719481
611	2.163659162
612	2.163629709
613	2.163560464
614	2.1635131
615	2.163493261
616	2.163458949
617	2.163409466
618	2.16336283
619	2.163298175
620	2.163265591
621	2.163231876
622	2.163178851
623	2.163133571
624	2.163108297
625	2.163063854
626	2.163029763
627	2.162975624
628	2.162940342
629	2.162883464
630	2.162818854
631	2.162773338
632	2.162731146
633	2.162692438
634	2.16263807
635	2.162562673
636	2.162486516
637	2.162443927
638	2.162378095
639	2.162351168
640	2.162297438
641	2.162263316
642	2.162202629
643	2.162168854
644	2.162154031
645	2.162102455
646	2.162038698
647	2.16201503
648	2.161938575
649	2.161906571
650	2.161842516
651	2.161809291
652	2.161735722
653	2.161701408
654	2.161661023
655	2.161598203
656	2.161555995
657	2.161526956
658	2.161494051
659	2.16145875
660	2.161391912
661	2.161337752
662	2.161290313
663	2.161255636
664	2.161194905
665	2.161150969
666	2.161115675
667	2.161095185
668	2.161065408
669	2.161008478
670	2.160956113
671	2.160914293
672	2.160871761
673	2.160848538
674	2.160814453
675	2.160781038
676	2.160751522
677	2.1607176
678	2.16068473
679	2.160660315
680	2.16062682
681	2.160590223
682	2.160567302
683	2.16050782
684	2.160479986
685	2.160424131
686	2.160395996
687	2.160349824
688	2.160319529
689	2.160262726
690	2.16020337
691	2.160132515
692	2.160070376
693	2.160005884
694	2.159950028
695	2.159899286
696	2.15987844
697	2.15985708
698	2.15981676
699	2.159796145
700	2.159762403
701	2.15967811
702	2.159648133
703	2.159619189
704	2.159572027
705	2.159531581
706	2.159474592
707	2.159440287
708	2.159381565
709	2.159353213
710	2.159310412
711	2.159241959
712	2.159201451
713	2.15914777
714	2.159108219
715	2.159061706
716	2.159031084
717	2.15898188
718	2.158955076
719	2.15892064
720	2.158894852
721	2.158847517
722	2.158826113
723	2.15878657
724	2.158755577
725	2.158712614
726	2.158664648
727	2.158638945
728	2.158582755
729	2.15855704
730	2.158536557
731	2.158508906
732	2.158472006
733	2.158442781
734	2.158389533
735	2.15834715
736	2.158320615
737	2.158299951
738	2.158260739
739	2.158210242
740	2.158166105
741	2.158115168
742	2.15808826
743	2.158036572
744	2.157998415
745	2.157956015
746	2.157926391
747	2.157851252
748	2.157826537
749	2.157807316
750	2.157780897
751	2.157729635
752	2.157661246
753	2.157619802
754	2.157604614
755	2.157559381
756	2.157525154
757	2.1574884
758	2.157452084
759	2.157423787
760	2.157365017
761	2.157303831
762	2.157276849
763	2.157245725
764	2.157223855
765	2.157192574
766	2.157184683
767	2.157126937
768	2.157112109
769	2.157090277
770	2.157055703
771	2.157003385
772	2.156970123
773	2.156908639
774	2.156841426
775	2.156783931
776	2.156752539
777	2.156682609
778	2.156618867
779	2.156559987
780	2.156539438
781	2.156492809
782	2.156451892
783	2.156433405
784	2.156381415
785	2.156347762
786	2.156304002
787	2.156287192
788	2.156268974
789	2.156223879
790	2.156190928
791	2.156138599
792	2.156123787
793	2.156098323
794	2.156060531
795	2.156025912
796	2.155990068
797	2.155937301
798	2.155902795
799	2.155870419
800	2.155805773
801	2.1557454
802	2.155699827
803	2.155648702
804	2.15559653
805	2.15557389
806	2.155530356
807	2.155506673
808	2.155480132
809	2.155441267
810	2.155393127
811	2.155352889
812	2.155291105
813	2.155258052
814	2.155225274
815	2.155194279
816	2.15516664
817	2.15512165
818	2.155078533
819	2.155035169
820	2.155025893
821	2.154988471
822	2.154964897
823	2.154918862
824	2.154877636
825	2.154839973
826	2.154795814
827	2.154733694
828	2.154668293
829	2.154651958
830	2.154617157
831	2.154587283
832	2.154555163
833	2.154512695
834	2.154499314
835	2.15446642
836	2.154453201
837	2.154428982
838	2.154386971
839	2.154368482
840	2.154305475
841	2.1542884
842	2.154236997
843	2.154197665
844	2.154183839
845	2.154158203
846	2.154128896
847	2.154092053
848	2.154033295
849	2.154007112
850	2.153975178
851	2.153916086
852	2.15388202
853	2.153837234
