iter	Passed	Remaining
402	10525	11778
403	10551	11753
404	10575	11724
405	10603	11700
406	10631	11676
407	10657	11650
408	10686	11627
409	10715	11604
410	10738	11574
411	10765	11549
412	10792	11524
413	10821	11500
414	10848	11476
415	10874	11449
416	10901	11424
417	10924	11395
418	10948	11366
419	10972	11338
420	11001	11315
421	11030	11291
422	11059	11268
423	11083	11240
424	11108	11212
425	11131	11183
426	11157	11157
427	11181	11129
428	11207	11103
429	11234	11077
430	11262	11053
431	11287	11026
432	11312	10998
433	11339	10973
434	11364	10946
435	11391	10921
436	11417	10895
437	11444	10869
438	11464	10838
439	11487	10808
440	11509	10778
441	11531	10749
442	11559	10724
443	11581	10694
444	11608	10668
445	11632	10641
446	11658	10615
447	11685	10590
448	11709	10561
449	11735	10535
450	11761	10510
451	11786	10482
452	11810	10455
453	11838	10430
454	11867	10407
455	11896	10383
456	11922	10356
457	11952	10334
458	11978	10308
459	12007	10284
460	12030	10256
461	12054	10227
462	12079	10200
463	12107	10176
464	12139	10155
465	12166	10130
466	12189	10101
467	12213	10073
468	12238	10046
469	12263	10019
470	12291	9995
471	12317	9968
472	12347	9945
473	12376	9922
474	12402	9896
475	12433	9873
476	12460	9848
477	12487	9822
478	12514	9797
479	12538	9769
480	12562	9741
481	12587	9714
482	12615	9689
483	12647	9668
484	12673	9642
485	12702	9618
486	12728	9591
487	12757	9568
488	12787	9545
489	12814	9519
490	12840	9493
491	12864	9464
492	12891	9440
493	12919	9415
494	12947	9390
495	12974	9364
496	13006	9342
497	13038	9320
498	13073	9300
499	13109	9281
500	13137	9256
501	13158	9226
502	13184	9200
503	13207	9171
504	13232	9144
505	13256	9117
506	13277	9087
507	13307	9063
508	13334	9038
509	13360	9011
510	13384	8983
511	13408	8956
512	13433	8929
513	13458	8902
514	13484	8876
515	13512	8851
516	13540	8826
517	13566	8800
518	13588	8771
519	13614	8744
520	13642	8719
521	13669	8693
522	13697	8668
523	13727	8645
524	13753	8618
525	13777	8591
526	13800	8563
527	13827	8537
528	13852	8510
529	13877	8483
530	13906	8459
531	13928	8430
532	13956	8405
533	13982	8378
534	14008	8352
535	14030	8323
536	14053	8296
537	14079	8269
538	14106	8243
539	14135	8219
540	14160	8192
541	14187	8167
542	14214	8141
543	14241	8115
544	14262	8086
545	14283	8057
546	14306	8029
547	14332	8003
548	14356	7976
549	14387	7952
550	14407	7922
551	14434	7897
552	14458	7869
553	14483	7842
554	14510	7817
555	14539	7792
556	14565	7766
557	14589	7739
558	14611	7711
559	14636	7684
560	14660	7656
561	14685	7630
562	14709	7602
563	14734	7576
564	14757	7548
565	14781	7521
566	14804	7493
567	14828	7466
568	14854	7440
569	14882	7415
570	14906	7387
571	14929	7360
572	14950	7331
573	14976	7305
574	14999	7277
575	15022	7250
576	15047	7223
577	15072	7197
578	15093	7168
579	15119	7142
580	15150	7118
581	15178	7093
582	15205	7068
583	15230	7041
584	15257	7015
585	15284	6990
586	15311	6964
587	15339	6939
588	15364	6912
589	15394	6888
590	15426	6865
591	15454	6839
592	15479	6813
593	15506	6787
594	15529	6759
595	15554	6733
596	15578	6706
597	15604	6679
598	15626	6652
599	15650	6625
600	15674	6598
601	15698	6571
602	15723	6545
603	15753	6520
604	15781	6495
605	15807	6469
606	15834	6443
607	15861	6417
608	15888	6391
609	15909	6363
610	15933	6337
611	15961	6311
612	15985	6284
613	16010	6258
614	16035	6231
615	16058	6204
616	16085	6178
617	16111	6152
618	16137	6126
619	16163	6100
620	16188	6073
621	16215	6048
622	16241	6022
623	16265	5995
624	16287	5967
625	16311	5940
626	16334	5913
627	16362	5888
628	16384	5860
629	16408	5834
630	16434	5808
631	16457	5781
632	16481	5754
633	16508	5728
634	16535	5702
635	16561	5676
636	16590	5651
637	16618	5626
638	16648	5601
639	16671	5574
640	16699	5549
641	16721	5521
642	16746	5495
643	16776	5470
644	16799	5443
645	16824	5417
646	16851	5391
647	16873	5364
648	16901	5338
649	16924	5311
650	16951	5286
651	16974	5258
652	17002	5233
653	17027	5207
654	17051	5180
655	17079	5155
656	17105	5129
657	17129	5102
658	17153	5075
659	17177	5049
660	17204	5023
661	17227	4996
662	17253	4970
663	17281	4944
664	17306	4918
665	17330	4891
666	17352	4864
667	17373	4837
668	17398	4811
669	17425	4785
670	17454	4760
671	17480	4734
672	17506	4708
673	17534	4682
674	17566	4658
675	17592	4632
676	17613	4605
677	17638	4578
678	17663	4552
679	17689	4526
680	17714	4500
681	17739	4473
682	17763	4447
683	17790	4421
684	17815	4395
685	17841	4369
686	17868	4343
687	17891	4316
688	17913	4289
689	17939	4263
690	17966	4238
691	17993	4212
692	18018	4186
693	18045	4160
694	18068	4133
695	18096	4108
696	18118	4081
697	18141	4054
698	18165	4028
699	18190	4001
700	18215	3975
701	18243	3950
702	18268	3923
703	18294	3897
704	18321	3872
705	18350	3846
706	18378	3821
707	18402	3794
708	18427	3768
709	18449	3741
710	18473	3715
711	18497	3689
712	18520	3662
713	18544	3636
714	18572	3610
715	18597	3584
716	18622	3558
717	18648	3532
718	18675	3506
719	18702	3480
720	18727	3454
721	18753	3428
722	18776	3402
723	18801	3375
724	18824	3349
725	18851	3323
726	18878	3297
727	18900	3271
728	18926	3245
729	18950	3219
730	18973	3192
731	18995	3165
732	19017	3139
733	19041	3112
734	19068	3087
735	19096	3061
736	19118	3035
737	19142	3008
738	19167	2982
739	19194	2957
740	19219	2930
741	19245	2905
742	19271	2879
743	19295	2852
744	19323	2827
745	19350	2801
746	19374	2775
747	19402	2749
748	19426	2723
749	19449	2696
750	19475	2671
751	19499	2644
752	19524	2618
753	19549	2592
754	19568	2565
755	19597	2540
756	19624	2514
757	19650	2488
758	19676	2462
759	19701	2436
760	19731	2411
761	19755	2385
762	19782	2359
763	19810	2333
764	19834	2307
765	19858	2281
766	19879	2254
767	19903	2228
768	19928	2202
769	19954	2176
770	19978	2150
771	20005	2124
772	20028	2098
773	20055	2072
